Date,LAK,AOA,ANG,NOK,XPF,AFN,MZN,DOP,CZK,THB,UZS,HTG,SHP,LTL,ISK,TMT,BIF,NGN,KMF,HRK,NZD,SBD,HNL,MYR,IRR,BWP,LYD,SOS,STD,KRW,NAD,VUV,YER,GMD,MAD,BSD,AWG,RSD,BYR,KZT,XAF,INR,HKD,UYU,JOD,LSL,MUR,GBP,EUR,SZL,SLL,DJF,ERN,VND,BYN,XCD,CVE,ARS,KHR,CRC,GHS,TRY,MGA,PHP,KWD,SIT,PAB,GIP,BBD,VEF,CNY,CDF,QAR,FJD,IDR,PKR,RWF,MWK,BGN,JPY,UGX,TWD,SDG,TND,ZMW,LRD,BMD,FRF,BAM,PLN,ITL,LBP,KPW,CNH,MNT,WST,ETB,MKD,MDL,CHF,AUD,GEL,TJS,ILS,SCR,MMK,JMD,MXV,SYP,AMD,TZS,OMR,IEP,BHD,BZD,TOP,ECS,CAD,AED,NIO,CLP,PYG,GTQ,DEM,RUB,FKP,KGS,GYD,BRL,LVL,BTN,MXN,MVR,XOF,CYP,SRD,DKK,USD,ZWL,PEN,SVC,EGP,IQD,BND,RON,SGD,TTD,AZN,MOP,XDR,MRO,KYD,GNF,DZD,ZAR,SEK,CUP,PGK,SAR,UAH,COP,KES,BDT,BOB,NPR,CLF,HUF,ALL,LKR,ILA,BRX,INX,CAX,CUC,ISX,HUX,CZX
2017-04-21,8205.000000,165.087006,1.777500,8.647190,111.000000,67.489998,70.440002,47.049999,25.170700,34.369999,3670.000000,66.300003,0.781100,3.048700,109.430000,3.410000,1698.750000,315.000000,461.929993,6.965100,1.427700,7.834500,23.420000,4.398300,32440.000000,10.390000,1.411800,547.000000,22910.000000,1134.310059,13.132000,107.250000,249.949997,43.799999,10.030400,1.000000,1.790000,114.896698,20020.000000,313.140015,612.619995,64.680000,7.775200,28.410000,0.708500,13.130000,35.130001,0.782300,0.934700,13.130000,7450.000000,177.600006,15.290000,22715.000000,1.877600,2.700000,103.099998,15.375000,3967.300049,549.419983,3.998500,3.645300,3165.000000,49.820000,0.304200,216.486755,1.000000,0.781100,2.000000,9.974400,6.884500,1389.750000,3.641100,2.089500,13320.000000,104.820000,818.640015,717.780029,1.820200,109.123001,3607.000000,30.339001,6.659800,2.480000,9.400000,90.000000,1.000000,5.760100,1.830800,3.992000,1700.272217,1506.199951,900.000000,6.886800,2417.580078,2.584200,22.700001,57.279999,19.235001,0.998520,1.329300,2.384300,8.479300,3.677500,13.469000,1349.000000,128.250000,3.272040,514.979980,484.380005,2229.000000,0.384800,0.699154,0.376900,1.997700,2.290600,25000.000000,1.347130,3.672500,29.762501,648.900024,5529.500000,7.330000,1.717450,56.312401,0.780900,67.446999,204.059998,3.147300,0.620550,64.599998,18.816000,15.250000,607.719971,0.519550,7.480000,6.952970,1.000000,322.355011,3.242500,8.722000,18.049999,1181.000000,1.396600,4.245100,1.397320,6.699500,1.701700,8.009300,0.732379,356.980011,0.820000,9240.700195,109.542999,13.137800,9.011960,1.000000,3.177200,3.750000,26.670000,2848.500000,103.050003,79.900002,6.880000,103.150002,0.024240,293.260010,125.650002,151.949997,,3.144700,,,,,292.600006,
2017-04-20,8187.000000,165.085999,1.777500,8.568000,110.470001,67.589996,70.440002,47.090000,25.042400,34.360001,3670.000000,66.300003,0.781500,3.048700,109.699997,3.410000,1698.280029,314.000000,461.980011,6.932700,1.424000,7.871500,23.388000,4.395200,32440.000000,10.422500,1.412200,547.000000,22788.500000,1135.199951,13.167000,107.459999,249.949997,43.700001,10.001200,1.000000,1.790000,114.904602,20020.000000,312.609985,609.969971,64.598999,7.775330,28.400000,0.709200,13.270000,35.150002,0.781140,0.930400,13.160000,7450.000000,177.600006,15.290000,22689.000000,1.874900,2.700000,102.629997,15.379000,4002.000000,549.599976,4.128500,3.636500,3170.000000,49.700001,0.304200,216.486755,1.000000,0.781500,2.000000,9.975000,6.882700,1376.900024,3.640500,2.080500,13320.000000,104.849998,818.599976,717.789978,1.823600,109.092003,3609.000000,30.378000,6.666700,2.300800,9.280000,91.000000,1.000000,5.760100,1.822800,3.968300,1700.272217,1504.000000,900.000000,6.880300,2417.080078,2.584200,22.700001,56.980000,19.205000,0.996120,1.329400,2.386300,8.488600,3.657800,13.385000,1349.000000,128.270004,3.257560,514.979980,484.970001,2228.000000,0.384800,0.699154,0.376900,1.998000,2.290600,25000.000000,1.349230,3.672500,29.758600,650.880005,5524.899902,7.333000,1.717450,56.192600,0.781300,67.769997,204.490005,3.136900,0.620550,64.550003,18.829700,15.360000,618.020020,0.519550,7.480000,6.921400,1.000000,322.355011,3.244000,8.722000,18.000000,1181.000000,1.396300,4.219700,1.396880,6.699500,1.701700,8.008200,0.732683,356.989990,0.820000,8970.000000,109.667000,13.170000,8.953210,1.000000,3.177200,3.750000,26.719999,2868.300049,103.150002,82.500000,6.880000,103.150002,0.024180,291.600006,126.000000,152.190002,,3.128800,,,,,290.679993,
2017-04-19,8186.000000,165.085999,1.777500,8.534860,110.750000,67.500000,70.440002,47.099998,24.989901,34.360001,3675.000000,66.300003,0.779300,3.048700,109.769997,3.410000,1698.020020,315.000000,462.000000,6.907200,1.424800,7.840600,23.372999,4.393500,32437.000000,10.455300,1.412700,547.000000,22860.800781,1137.890015,13.272000,106.980003,249.949997,44.000000,10.016000,1.000000,1.790000,114.975998,20020.000000,311.429993,611.500000,64.554001,7.774400,28.480000,0.708000,13.250000,35.160000,0.778100,0.932800,13.270000,7450.000000,177.600006,15.290000,22733.000000,1.874700,2.700000,102.879997,15.265000,3964.399902,549.669983,4.138500,3.662500,3185.000000,49.750000,0.304200,216.486755,1.000000,0.779300,2.000000,9.974800,6.884900,1380.800049,3.640800,2.082500,13325.000000,104.830002,818.409973,717.789978,1.831000,109.065002,3612.000000,30.406000,6.666700,2.311800,9.330000,91.000000,1.000000,5.760100,1.827400,3.953100,1700.272217,1504.000000,900.000000,6.881000,2410.979980,2.584200,22.750000,57.119999,19.195000,0.997690,1.328700,2.372400,8.488600,3.663600,13.469000,1347.000000,128.460007,3.216875,514.979980,485.369995,2228.000000,0.384800,0.699154,0.376900,1.997800,2.290600,25000.000000,1.342910,3.672300,29.754601,648.830017,5513.299805,7.334500,1.717450,56.176201,0.779100,67.775002,204.399994,3.107800,0.620550,64.550003,18.636101,15.300000,618.049988,0.519550,7.480000,6.939460,1.000000,322.355011,3.249500,8.722000,18.010000,1181.000000,1.397000,4.226700,1.397400,6.689500,1.701700,8.008600,0.734766,357.040009,0.820000,9215.200195,109.644997,13.283300,8.971470,1.000000,3.159600,3.749900,26.750000,2839.500000,103.150002,81.800003,6.880000,103.000000,0.024210,291.920013,125.500000,151.949997,,3.095200,,,,,292.190002,
2017-04-18,8187.000000,165.085999,1.777500,8.526670,111.120003,67.500000,70.440002,47.070000,25.046499,34.340000,3671.000000,66.300003,0.795700,3.048700,110.750000,3.410000,1698.040039,315.000000,462.000000,6.925500,1.420500,7.834500,23.374001,4.409000,32438.000000,10.477200,1.418000,547.000000,22940.000000,1141.430054,13.364000,106.919998,249.949997,44.000000,10.037500,1.000000,1.790000,115.837799,20020.000000,311.309998,613.469971,64.680000,7.773600,28.490000,0.708500,13.290000,35.250000,0.789070,0.935900,13.409000,7450.000000,176.419998,15.290000,22704.000000,1.880000,2.700000,103.239998,15.194000,3989.899902,554.119995,4.168500,3.685500,3180.000000,49.650002,0.304400,216.486755,1.000000,0.795700,2.000000,9.974500,6.879900,1380.849976,3.640500,2.090500,13295.000000,104.699997,818.409973,717.789978,1.839900,108.792999,3612.000000,30.403999,6.660000,2.309800,9.360000,92.000000,1.000000,5.760100,1.833300,3.964900,1700.272217,1505.500000,900.000000,6.881100,2398.000000,2.584200,22.700001,57.310001,19.165001,1.000100,1.323700,2.379600,8.488600,3.659800,13.200000,1355.000000,128.360001,3.235073,514.979980,485.589996,2228.000000,0.384800,0.699154,0.376900,1.997700,2.290600,25000.000000,1.335230,3.672300,29.750601,647.400024,5516.000000,7.334500,1.717450,56.063000,0.795400,67.853996,204.289993,3.099900,0.620550,64.449997,18.540199,15.310000,618.099976,0.519550,7.480000,6.963070,1.000000,322.355011,3.249500,8.722200,18.000000,1181.000000,1.397300,4.223000,1.397760,6.709500,1.702100,8.006600,0.735711,357.000000,0.820000,9039.000000,109.679001,13.374900,8.977800,1.000000,3.177200,3.750000,26.790001,2851.199951,103.150002,81.620003,6.880000,103.000000,0.024150,292.440002,127.250000,151.800003,,3.103000,,,,,293.790009,
2017-04-17,8190.000000,165.085999,1.777500,8.556260,111.839996,67.150002,70.440002,47.040001,25.025200,34.230000,3640.000000,66.300003,0.797100,3.048700,111.650002,3.400000,1697.199951,314.000000,463.250000,6.943200,1.423300,7.849900,23.410000,4.404000,32439.000000,10.510200,1.418800,547.000000,23024.099609,1135.810059,13.470000,109.250000,249.949997,44.049999,10.060000,1.000000,1.790000,115.625298,20020.000000,310.790009,615.849976,64.550003,7.772210,28.469999,0.708800,13.400000,35.250000,0.796870,0.939400,13.356000,7450.000000,176.889999,15.280000,22699.000000,1.876700,2.700000,103.620003,15.139000,3970.199951,554.359985,4.218500,3.654300,3180.000000,49.369999,0.304600,216.486755,1.000000,0.797100,2.000000,9.974800,6.882900,1369.000000,3.640500,2.087500,13280.000000,104.830002,818.359985,717.789978,1.839900,108.459999,3609.000000,30.319000,6.666700,2.313200,9.390000,91.000000,1.000000,5.760100,1.840400,3.988400,1700.272217,1506.699951,900.000000,6.880800,2399.889893,2.584200,22.700001,57.660000,19.155001,1.003430,1.316700,2.379600,8.488600,3.652800,13.150000,1355.000000,128.369995,3.223742,514.979980,485.589996,2227.000000,0.384800,0.699154,0.376900,1.997800,2.290600,25000.000000,1.329270,3.672900,29.746599,649.000000,5504.000000,7.338500,1.717450,56.063000,0.796800,68.263000,204.289993,3.145800,0.620550,64.425003,18.513901,15.320000,618.200012,0.519550,7.480000,6.990200,1.000000,322.355011,3.253000,8.722000,18.049999,1181.000000,1.395100,4.241500,1.395740,6.709500,1.702100,8.005300,0.736167,357.029999,0.820000,9215.799805,110.070999,13.354000,9.001630,1.000000,3.173600,3.750100,26.805000,2865.000000,103.150002,80.820000,6.880000,102.750000,0.024250,294.130005,127.500000,151.880005,,3.126300,,,,,293.429993,
2017-04-16,8190.000000,165.085999,1.790000,8.565200,111.839996,67.150002,70.440002,46.970001,25.122999,34.330002,3640.000000,66.300003,0.797900,3.048700,111.650002,3.400000,1697.199951,314.000000,463.250000,6.953000,1.426700,7.849900,23.410000,4.405000,32436.000000,10.510200,1.419300,547.000000,23093.500000,1134.949951,13.403000,109.250000,249.949997,44.049999,10.069500,1.000000,1.790000,115.625298,20020.000000,310.809998,617.599976,64.419998,7.771400,28.469999,0.707500,13.400000,35.250000,0.798750,0.942100,13.420000,7450.000000,177.699997,15.280000,22749.000000,1.880000,2.700000,103.930000,15.139000,3990.000000,554.349976,4.183500,3.730900,3180.000000,49.470001,0.303900,216.486755,1.000000,0.797900,2.000000,9.974800,6.883400,1369.000000,3.640600,2.087500,13255.000000,104.849998,818.359985,717.789978,1.839900,108.480003,3609.000000,30.371000,6.660000,2.315800,9.390000,91.000000,1.000000,5.760100,1.845600,3.989400,1700.272217,1506.699951,900.000000,6.879600,2396.000000,2.584200,22.700001,57.660000,19.155001,1.006000,1.318300,2.379600,8.488600,3.650100,13.334000,1355.000000,127.769997,3.223742,514.979980,485.589996,2227.000000,0.384800,0.699154,0.376900,1.997800,2.290600,25000.000000,1.332500,3.672900,29.400000,649.000000,5495.000000,7.338500,1.717450,56.328999,0.797600,68.324997,204.289993,3.143800,0.620550,64.400002,18.497000,15.320000,618.200012,0.519550,7.480000,7.013200,1.000000,322.355011,3.247500,8.722000,18.049999,1181.000000,1.397000,4.265200,1.396820,6.709500,1.702100,8.004600,0.736167,357.000000,0.820000,9200.000000,110.134003,13.403800,9.017950,1.000000,3.275000,3.750000,26.805000,2864.000000,103.150002,80.870003,6.880000,102.750000,0.024250,294.420013,127.500000,152.119995,,3.126300,,,,,293.429993,
2017-04-15,8190.000000,165.085999,1.790000,8.565200,111.839996,67.150002,70.440002,46.970001,25.122999,34.330002,3640.000000,66.300003,0.797900,3.048700,111.650002,3.400000,1697.199951,314.000000,463.250000,6.953000,1.426700,7.849900,23.410000,4.405000,32436.000000,10.510200,1.420200,547.000000,23093.500000,1134.949951,13.409000,109.250000,249.949997,44.049999,10.069500,1.000000,1.790000,115.625298,20020.000000,310.809998,617.599976,64.459000,7.771400,28.469999,0.709300,13.400000,35.250000,0.798750,0.942100,13.420000,7450.000000,177.699997,15.280000,22749.000000,1.880000,2.700000,103.930000,15.139000,3990.000000,555.359985,4.183500,3.729300,3180.000000,49.470001,0.304500,216.486755,1.000000,0.797900,2.000000,9.974800,6.883400,1369.000000,3.640200,2.087500,13253.000000,104.699997,818.359985,717.789978,1.839900,108.480003,3609.000000,30.371000,6.660000,2.315800,9.390000,91.000000,1.000000,1700.272217,1.845600,3.989400,1700.272217,1506.699951,900.000000,6.879600,2396.000000,2.584200,22.700001,57.660000,19.155001,1.006000,1.318300,2.379600,8.488600,3.650100,13.334000,1355.000000,127.769997,3.223742,514.979980,485.589996,2227.000000,0.384400,0.699154,0.376300,1.997800,2.290600,25000.000000,1.332500,3.672400,29.400000,649.000000,5495.000000,7.338500,1.717450,56.328999,0.797600,68.324997,204.289993,3.143800,0.620550,64.400002,18.497000,15.320000,618.200012,,7.480000,7.013200,1.000000,322.355011,3.247500,8.722000,18.049999,1181.000000,1.397000,4.265200,1.396820,6.709500,1.702100,8.004600,0.736167,357.000000,0.820000,9200.000000,110.134003,13.403800,9.017950,1.000000,3.275000,3.749600,26.805000,2864.000000,103.150002,80.870003,6.880000,102.699997,0.024250,294.420013,127.500000,151.979996,,3.126300,,,,,293.429993,
2017-04-14,8202.799805,165.085999,1.777500,8.578720,111.820000,67.430000,70.440002,46.970001,25.123301,34.320000,3635.000000,66.300003,0.799200,3.048700,111.650002,3.400000,1697.140015,314.000000,463.250000,6.959300,1.429100,7.871500,23.420000,4.397000,32436.000000,10.510200,1.420500,549.000000,23076.099609,1139.619995,13.470000,109.290001,249.949997,44.000000,10.074000,1.000000,1.790000,115.625298,20020.000000,310.790009,617.330017,64.550003,7.772670,28.480000,0.708800,13.440000,35.250000,0.799340,0.941700,13.413500,7450.000000,176.850006,15.290000,22679.000000,1.881500,2.700000,103.849998,15.145000,3980.800049,550.580017,4.218500,3.688600,3180.000000,49.459999,0.304400,216.486755,1.000000,0.799200,2.000000,9.975000,6.885900,1370.000000,3.639800,2.093500,13283.000000,104.769997,818.369995,717.789978,1.839900,108.876999,3610.000000,30.343000,6.660000,2.302300,9.390000,91.000000,1.000000,1700.272217,1.844800,3.993500,1700.272217,1506.699951,900.000000,6.884100,2401.800049,2.584200,22.700001,57.669998,19.184999,1.004440,1.319800,2.379600,8.488600,3.653900,13.150000,1355.000000,127.669998,3.233713,514.979980,486.089996,2227.000000,0.384800,0.699154,0.376900,1.997800,2.290600,25000.000000,1.332000,3.672300,29.734699,649.869995,5495.000000,7.338500,1.717450,56.154099,0.798900,68.324997,204.059998,3.142100,0.620550,64.400002,18.552700,15.330000,618.200012,,7.480000,7.005900,1.000000,322.355011,3.248000,8.722200,18.000000,1181.000000,1.396600,4.253200,1.397310,6.719500,1.702100,8.005800,0.736055,357.040009,0.820000,9200.099609,109.853996,13.397700,9.033880,1.000000,3.272500,3.750000,26.805000,2866.600098,103.150002,80.959999,6.880000,102.699997,0.024300,294.510010,127.250000,151.979996,,3.126300,,,,,293.429993,
2017-04-13,8202.799805,165.085999,1.777500,8.564440,111.379997,67.300003,70.440002,47.049999,25.122900,34.369999,3645.000000,66.300003,0.795800,3.048700,110.699997,3.410000,1697.020020,314.000000,463.279999,6.951500,1.428000,7.840600,23.250000,4.411800,32436.000000,10.510200,1.420800,549.000000,22998.199219,1131.400024,13.467000,109.500000,250.199997,44.049999,10.047000,1.000000,1.790000,115.625298,20020.000000,311.390015,616.770020,64.500000,7.775150,28.459999,0.708000,13.490000,35.189999,0.798130,0.940800,13.478500,7450.000000,176.850006,15.270000,22644.000000,1.886200,2.700000,103.500000,15.159000,3982.199951,550.809998,4.178500,3.673000,3185.000000,49.410000,0.304200,216.486755,1.000000,0.795800,2.000000,9.974500,6.886000,1345.000000,3.640800,2.088500,13255.000000,104.809998,818.369995,715.559998,1.844200,109.130997,3612.000000,30.302999,6.666700,2.331400,9.410000,90.000000,1.000000,1700.272217,1.843100,3.994100,1700.272217,1504.000000,900.000000,6.885400,2403.750000,2.584200,22.700001,57.459999,19.184999,1.005690,1.320000,2.381500,8.490700,3.653400,13.574000,1355.000000,128.520004,3.267867,514.979980,486.070007,2227.000000,0.384800,0.699154,0.376900,1.997700,2.290600,25000.000000,1.323460,3.672600,29.730700,650.500000,5501.000000,7.338800,1.717450,56.426998,0.795600,68.402000,204.059998,3.124600,0.620550,64.675003,18.600401,15.350000,618.349976,,7.480000,6.999350,1.000000,322.355011,3.253500,8.722000,18.000000,1181.000000,1.394500,4.247300,1.396440,6.719500,1.702400,8.007900,0.737479,356.859985,0.820000,9216.799805,109.938004,13.539800,9.016420,1.000000,3.177200,3.750100,26.840000,2868.600098,103.099998,80.800003,6.880000,102.699997,0.024390,294.100006,127.000000,151.979996,,3.145700,,,,,293.429993,
2017-04-12,8192.000000,165.085999,1.777500,8.582640,111.980003,67.290001,70.440002,46.980000,25.160999,34.459999,3540.000000,66.309998,0.800800,3.048700,111.589996,3.410000,1696.680054,315.000000,463.320007,6.980400,1.444600,7.840600,23.270000,4.423800,32438.000000,10.633300,1.420900,547.000000,23108.800781,1138.750000,13.723000,107.629997,249.949997,44.049999,10.077400,1.000000,1.790000,116.405998,20020.000000,311.839996,618.320007,64.730003,7.771700,28.410000,0.709000,13.820000,35.299999,0.800260,0.943000,13.729800,7450.000000,175.990005,15.270000,22669.000000,1.891600,2.700000,104.000000,15.238000,3981.399902,550.650024,4.228500,3.676500,3200.000000,49.459999,0.304600,216.486755,1.000000,0.800800,2.000000,9.974800,6.891700,1347.000000,3.639700,2.096500,13283.000000,104.809998,818.419983,717.789978,1.842300,109.629997,3612.000000,30.527000,6.666700,2.346800,9.420000,92.000000,1.000000,1700.272217,1.847800,4.003900,1700.272217,1504.000000,900.000000,6.897600,2405.870117,2.582100,22.700001,57.750000,19.215000,1.007160,1.336000,2.399700,8.490700,3.652600,13.469000,1355.000000,128.470001,3.260775,514.979980,486.070007,2228.000000,0.384900,0.699154,0.376900,1.997700,2.290600,25000.000000,1.332130,3.672900,29.726801,655.440002,5501.000000,7.335500,1.717450,57.055099,0.800600,68.431000,202.600006,3.144000,0.620550,64.449997,18.785000,15.380000,618.650024,,7.480000,7.013850,1.000000,322.355011,3.251500,8.722000,18.049999,1181.000000,1.401300,4.256800,1.401680,6.709500,1.702400,8.004400,0.738213,356.989990,0.820000,9210.000000,110.125999,13.729200,9.015840,1.000000,3.177200,3.750000,26.830000,2874.000000,103.150002,81.150002,6.880000,103.199997,0.024460,293.959991,127.500000,152.009995,,3.141800,,,,,293.350006,
2017-04-11,8194.000000,165.085999,1.777500,8.591680,111.849998,67.099998,70.440002,47.270000,25.128901,34.560001,3655.000000,66.309998,0.804700,3.048700,111.870003,3.410000,1671.000000,314.000000,460.179993,6.951900,1.439500,7.773500,23.299999,4.429500,32439.000000,10.690200,1.410000,547.000000,23087.099609,1143.229980,13.809000,107.610001,249.949997,44.000000,10.075600,0.990000,1.790000,116.652397,20020.000000,311.190002,617.599976,64.570000,7.771200,28.410000,0.708800,13.940000,35.330002,0.804240,0.941900,13.806000,7450.000000,177.570007,15.270000,22652.000000,1.897700,2.700000,103.910004,15.199000,3990.899902,550.669983,4.218500,3.710000,3200.000000,49.580002,0.304900,216.486755,1.000000,0.804700,2.000000,9.980000,6.899300,1348.000000,3.639800,2.068500,13280.000000,104.849998,818.280029,717.250000,1.849000,110.605003,3607.000000,30.617001,6.660000,2.341300,9.380000,92.000000,1.000000,1700.272217,1.845600,3.994700,1700.272217,1510.000000,900.000000,6.900900,2414.659912,2.582100,22.610001,57.689999,19.254999,1.007430,1.331600,2.405800,8.448100,3.653800,13.400000,1354.000000,128.470001,3.258737,514.979980,485.540009,2226.000000,0.384800,0.699154,0.376900,1.997700,2.290600,25000.000000,1.331880,3.672900,29.722799,649.799988,5448.000000,7.337500,1.717450,56.910000,0.804400,68.435997,204.059998,3.116300,0.620550,64.500000,18.696100,15.170000,614.500000,,7.490000,7.004200,1.000000,322.355011,3.246500,8.722000,18.110001,1180.000000,1.403100,4.244700,1.403450,6.699500,1.702600,8.003900,0.739368,357.000000,0.820000,9085.000000,109.924004,13.807300,9.037570,1.000000,3.177200,3.750000,26.860001,2862.600098,103.160004,80.529999,6.880000,103.199997,0.024370,293.209991,128.050003,152.179993,,3.140300,,,,,293.899994,
2017-04-10,8191.000000,165.085999,1.777500,8.647970,112.239998,67.360001,70.440002,47.259998,25.077999,34.619999,3613.000000,66.440002,0.807400,3.048700,112.309998,3.400000,1670.000000,315.000000,460.220001,6.992200,1.440500,7.764500,23.320000,4.432100,32425.000000,10.678800,1.410000,547.000000,23165.699219,1142.140015,13.850000,107.720001,250.000000,44.049999,10.096400,1.000000,1.790000,116.716301,20020.000000,311.989990,619.469971,64.610001,7.769600,28.430000,0.708800,13.800000,35.279999,0.806590,0.945100,13.888500,7450.000000,177.970001,15.270000,22649.000000,1.888800,2.700000,104.260002,15.322000,3980.600098,550.690002,4.128500,3.732800,3200.000000,49.599998,0.304900,216.486755,1.000000,0.807400,2.000000,9.980000,6.901400,1347.000000,3.639900,2.089500,13258.000000,104.830002,818.450012,716.909973,1.839900,111.309998,3607.000000,30.591999,6.666700,2.294100,9.470000,91.000000,1.000000,1700.272217,1.851200,3.999200,1700.272217,1510.000000,900.000000,6.902300,2416.280029,2.584200,22.709999,57.889999,19.285000,1.009930,1.334800,2.405100,8.398000,3.662300,13.410000,1355.000000,128.479996,3.255660,514.979980,484.730011,2225.000000,0.384800,0.699154,0.376970,1.997700,2.292100,25000.000000,1.337990,3.672500,29.718800,656.630005,5707.100098,7.337500,1.717450,57.240002,0.807200,68.428001,204.429993,3.148300,0.620550,64.250000,18.694700,15.270000,614.549988,,7.490000,7.030200,1.000000,322.355011,3.244300,8.722000,18.000000,1180.000000,1.405900,4.259400,1.406510,6.699500,1.702600,8.002400,0.737741,358.190002,0.820000,9125.000000,110.070000,13.891700,9.087900,1.000000,3.177200,3.750100,26.920000,2860.899902,103.199997,80.750000,6.880000,102.800003,0.024530,294.010010,127.650002,151.369995,,3.129600,,,,,293.369995,
2017-04-09,8190.000000,165.085999,1.790000,8.653100,112.089996,67.360001,70.440002,47.270000,25.076000,34.590000,3613.000000,66.440002,0.808000,3.048700,112.449997,3.400000,1671.000000,314.000000,460.220001,6.995100,1.441300,7.764500,23.320000,4.433500,32420.000000,10.633300,1.400000,549.000000,23130.699219,1136.390015,13.749000,109.120003,249.949997,44.000000,10.084000,0.990000,1.790500,115.977097,20020.000000,313.059998,618.619995,64.279999,7.767100,28.430000,0.707300,13.800000,35.180000,0.808090,0.943600,13.760000,7455.000000,177.570007,15.270000,22604.000000,1.890000,2.700000,104.099998,15.323000,3990.000000,556.140015,4.200000,3.730100,3200.000000,49.779999,0.305200,216.486755,1.000000,0.808000,2.000000,9.974500,6.897700,1349.000000,3.640100,2.089500,13313.000000,104.820000,818.450012,716.890015,1.839900,111.139999,3607.000000,30.600000,6.667000,2.288800,9.510000,91.000000,1.000000,1700.272217,1.848700,3.983500,1700.272217,1511.000000,900.000000,6.893300,2420.000000,2.578100,22.709999,57.799999,19.285000,1.009200,1.331600,2.417000,8.398000,3.647500,13.430000,1356.000000,128.009995,3.255660,514.979980,484.730011,2226.000000,0.384500,0.699154,0.376970,1.997700,2.292100,25000.000000,1.340200,3.672800,29.330000,655.780029,5697.200195,7.337500,1.717450,57.237999,0.807700,68.426003,204.429993,3.145700,0.620550,64.849998,18.680000,15.280000,614.549988,,7.490000,7.021600,1.000000,322.355011,3.240800,8.722000,18.000000,1180.000000,1.404100,4.272900,1.403930,6.699000,1.702600,8.000100,0.737741,357.000000,0.820000,9120.000000,110.000000,13.752300,9.055800,1.000000,3.285000,3.750100,26.930000,2858.300049,103.250000,80.339996,6.860000,102.550003,0.024530,292.450012,127.650002,151.770004,,3.129600,,,,,291.859985,
2017-04-08,8201.799805,165.085999,1.790000,8.653100,112.089996,67.360001,70.440002,46.980000,25.076000,34.590000,3613.000000,66.440002,0.808000,3.048700,112.449997,3.410000,1696.020020,315.000000,460.220001,6.995100,1.441300,7.764500,23.320000,4.433500,32431.000000,10.633300,1.419600,547.000000,23130.699219,1136.390015,13.749000,109.120003,249.929993,44.049999,10.084000,1.000000,1.790000,115.977097,20020.000000,313.059998,618.619995,64.265999,7.767100,28.430000,0.707300,13.800000,35.180000,0.808090,0.943600,13.760000,7450.000000,178.000000,15.270000,22604.000000,1.890000,2.700000,104.099998,15.322000,3980.399902,556.140015,4.137700,3.730100,3200.000000,49.779999,0.304300,216.486755,1.000000,0.808000,2.000000,9.974500,6.897700,1355.000000,3.640000,2.089500,13313.000000,104.650002,818.450012,716.890015,1.839900,111.043999,3607.000000,30.600000,6.667000,2.288800,9.510000,91.000000,1.000000,1700.272217,1.848700,3.983500,1700.272217,1505.699951,900.000000,6.893300,2420.000000,2.578100,22.709999,57.799999,19.285000,1.009200,1.331600,2.417000,8.398000,3.647500,13.476000,1356.000000,128.009995,3.255660,514.979980,484.730011,2226.000000,0.384500,0.699154,0.376600,1.997700,2.292100,25000.000000,1.340200,3.672300,29.330000,655.780029,5697.200195,7.337500,1.717450,57.237999,0.807700,68.426003,204.429993,3.145500,0.620550,64.849998,18.658001,15.410000,614.549988,,7.490000,7.021600,1.000000,322.355011,3.240800,8.722000,18.030001,1181.000000,1.404100,4.272900,1.403930,6.699000,1.702600,8.000100,0.737741,357.000000,0.820000,9230.000000,110.138000,13.752300,9.055800,1.000000,3.285000,3.749600,26.930000,2857.300049,103.150002,80.339996,6.860000,103.750000,0.024530,292.450012,127.650002,151.649994,,3.129600,,,,,291.859985,
